선수명,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,팀명,포지션 수
최형우,45,44,350,0,0,88,1,0,1,0,0,0,KIA,1
추재현,1,0,4,0,0,2,0,0,1,0,0,0,키움,1
터커,104,93,768,4,0,164,3,1,0.976608187,0,0,0,KIA,2
페게로,36,31,233,6,0,179,16,18,0.970149254,0,0,0,LG,3
페르난데스,15,15,117,3,0,105,3,14,0.972972973,0,0,0,두산,1
하주석,5,5,38,2,0,10,11,2,0.913043478,0,0,0,한화,1
한동민,93,89,772.67,4,0,166,11,2,0.977900552,0,0,0,SK,1
한동희,55,46,401,9,0,75,80,13,0.945121951,0,0,0,롯데,2
한승택,103,83,702,5,0,553,43,4,0.991680532,3,61,18,KIA,1
한준수,7,5,39,0,0,29,5,0,1,0,6,2,KIA,1
해즐베이커,12,10,84,1,0,25,1,1,0.962962963,0,0,0,KIA,2
허경민,134,124,1083,8,0,88,195,20,0.972508591,0,0,0,두산,3
허도환,56,22,242.33,2,1,218,19,3,0.991631799,0,21,4,SK,1
허일,37,19,163.33,1,0,41,2,2,0.977272727,0,0,0,롯데,4
허정협,20,15,107,0,0,19,0,0,1,0,0,0,키움,2
호잉,149,122,1040.34,2,0,273,9,4,0.992957746,0,0,0,한화,2
홍재호,10,4,49,1,0,7,18,3,0.961538462,0,0,0,KIA,2
홍창기,20,2,52,0,0,12,1,0,1,0,0,0,LG,3
황대인,9,5,48,0,0,40,4,6,1,0,0,0,KIA,2
황윤호,65,30,297.67,6,0,49,81,14,0.955882353,0,0,0,KIA,3
황재균,130,119,1026.67,11,0,127,233,27,0.970350404,0,0,0,KT,3
황진수,6,0,10.33,0,0,0,1,1,1,0,0,0,롯데,2
