선수명,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP
손시헌,690,612,182,146,25,2,9,61,69,36,1,18,87,6,23,10,4,2,0.35119047619047616,0.3888888888888889,0.7400793650793651,0.2552579365079365,0.21241830065359477,0.669683257918552,78.64341678657081,2.912719140243363,84.43399999999998,0.09150326797385622,5.538461538461538,1.2996199701937405,0.04933444002708762,0.3314176245210728
박석민,1854,1524,408,264,69,2,73,217,289,256,9,52,346,12,21,64,3,5,0.3882863340563991,0.45931758530183725,0.8476039193582363,0.2895582466508389,0.452755905511811,0.8531645569620253,229.98521453678882,8.517970908769955,270.12199999999996,0.19160104986876636,5.7631578947368425,0.7832942779291553,0.30738830901036623,0.2999104744852283
박정권,413,366,89,54,15,1,19,46,62,38,0,4,98,5,5,5,1,1,0.3171912832929782,0.4453551912568306,0.7625464745498087,0.25407487529604783,0.4016393442622951,0.7279151943462897,41.36655300372138,1.5320945556933845,54.82600000000001,0.20218579234972678,1.9,1.9117869249394672,0.014154843387161395,0.2755905511811024
호잉,1543,1388,383,227,88,5,63,203,249,124,17,15,269,15,16,17,55,21,0.33852140077821014,0.4827089337175792,0.8212303344957894,0.27301186377958936,0.4329971181556196,0.8283796740172579,193.55548612180837,7.168721708215124,228.98799999999994,0.2067723342939481,58.728813559322035,0.849113442622951,0.23916563854491285,0.2987861811391223
조용호,1447,1229,330,283,42,5,0,197,109,185,1,7,240,7,25,18,38,19,0.36554621848739494,0.31082180634662326,0.6763680248340183,0.24220124990598355,0.24654190398698128,0.6538461538461539,137.3476009023475,5.086948181568426,156.98999999999998,0.0423108218063466,0.0,0.771812193412754,0.13665464735683536,0.3313253012048193
황재균,2202,1972,585,388,108,13,76,336,308,194,4,14,381,15,21,38,46,23,0.3612756264236902,0.4802231237322515,0.8414987501559417,0.28262981282372346,0.3935091277890467,0.8294198895027625,292.05416895306826,10.81682107233586,330.4519999999999,0.18356997971602435,57.31147540983606,0.7233966225467823,0.4171438794934006,0.3326797385620915
강백호,2292,1981,644,421,137,5,81,351,340,283,23,10,389,18,18,29,29,18,0.4088132635253054,0.5219586067642604,0.9307718702895658,0.31445562027745255,0.4578495709237759,0.9797687861271677,368.0445507455506,13.631279657242615,401.19800000000004,0.1968702675416456,42.70909090909091,0.7628091670339356,0.53196141705834,0.368214519293656
김태군,855,729,184,141,32,0,11,72,77,47,0,39,95,6,40,19,0,2,0.32886723507917176,0.34156378600823045,0.6704310210874023,0.2333812022876849,0.20987654320987653,0.5918727915194346,75.5760908246225,2.7991144749860184,84.96000000000001,0.08916323731138548,0.0,1.1090255785627283,0.04573367903949001,0.27503974562798095
배정대,1299,1122,302,221,52,4,25,189,139,140,2,18,299,9,19,20,41,22,0.35686578743211794,0.3894830659536542,0.7463488533857721,0.2579603708328666,0.3342245989304813,0.7378190255220418,129.83318854909953,4.808636612929612,162.47799999999998,0.12032085561497324,31.060606060606062,0.8693496503496504,0.12391287624053651,0.34324659231722426
장성우,2069,1801,456,342,58,1,55,179,277,208,6,10,360,22,50,60,2,8,0.33023027927486526,0.3781232648528595,0.7083535441277248,0.24313444188690425,0.300388672959467,0.637650389242746,185.61856119878803,6.874761525881038,228.39000000000004,0.1249305941143809,3.8596491228070176,0.671395085995086,0.2242619493923639,0.28480113636363635
유한준,2304,2042,635,478,92,2,63,250,343,228,13,15,258,12,18,60,5,3,0.3822377013495864,0.4505386875612145,0.8327763889108009,0.2846416374976175,0.32908912830558273,0.7945578231292517,319.9524876409887,11.850092134851433,333.696,0.13956904995102842,9.264705882352942,0.7001865148861647,0.4620623704429929,0.33006347374495093
류지혁,1304,1116,299,249,37,6,7,198,128,117,1,33,190,10,37,20,33,13,0.3518808777429467,0.33064516129032256,0.6825260390332692,0.24100768530690664,0.2302867383512545,0.6494117647058824,126.13900110010991,4.671814855559626,142.87999999999997,0.06272401433691754,11.55,0.826803137254902,0.11778043509707577,0.3143164693218515
홍창기,1209,974,295,219,59,8,9,194,91,200,5,27,202,5,8,15,37,14,0.43283582089552236,0.4075975359342916,0.8404333568298139,0.29667550338655796,0.41170431211498976,0.9336158192090396,171.38859298919988,6.347725666266662,186.06400000000002,0.10472279260780287,14.478260869565217,0.9435478767693587,0.19773347283468432,0.3723958333333333
