순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
99,정의윤,SK,좌익수,13,9,83,1,0,12,0,0,0.923,0,0,0,-
99,임훈,LG,중견수,13,2,31,0,0,7,0,0,1,0,0,0,-
101,김주찬,KIA,좌익수,12,4,44,0,0,8,0,0,1,0,0,0,-
101,이창진,KIA,좌익수,12,6,54,0,0,16,0,0,1,0,0,0,-
101,백민기,두산,우익수,12,2,32 2/3,0,0,10,0,0,1,0,0,0,-
101,이재율,NC,좌익수,12,6,61,0,0,21,0,0,1,0,0,0,-
101,장진혁,한화,중견수,12,0,25,0,0,9,1,0,1,0,0,0,-
101,박한이,삼성,좌익수,12,8,74,0,0,8,0,0,1,0,0,0,-
101,김지열,KT,우익수,12,4,46 2/3,0,0,17,0,0,1,0,0,0,-
101,오준혁,KT,좌익수,12,3,40,0,0,10,1,0,1,0,0,0,-
101,유한준,KT,중견수,12,10,89 2/3,0,0,11,0,0,1,0,0,0,-
101,홍현빈,KT,좌익수,12,3,39,0,0,7,0,0,1,0,0,0,-
111,유재신,KIA,우익수,11,3,29 1/3,0,0,6,0,0,1,0,0,0,-
111,정진호,두산,중견수,11,5,45,0,0,9,0,0,1,0,0,0,-
111,임훈,LG,우익수,11,3,39 2/3,0,0,8,0,0,1,0,0,0,-
111,김민하,한화,우익수,11,7,59,0,0,19,0,0,1,0,0,0,-
111,이동훈,한화,중견수,11,4,48,0,0,10,0,0,1,0,0,0,-
111,박찬도,삼성,중견수,11,5,41,0,0,9,0,0,1,0,0,0,-
111,로하스,KT,좌익수,11,9,82 2/3,0,0,14,0,0,1,0,0,0,-
118,이영욱,KIA,중견수,10,2,32,0,0,13,0,0,1,0,0,0,-
118,박세혁,두산,우익수,10,4,47,0,0,8,0,0,1,0,0,0,-
118,나경민,롯데,좌익수,10,1,18,0,0,2,0,0,1,0,0,0,-
118,윤정우,SK,좌익수,10,5,42,0,0,5,0,0,1,0,0,0,-
118,김규민,넥센,중견수,10,10,78,0,0,18,0,0,1,0,0,0,-
118,오태곤,KT,중견수,10,3,32,0,0,9,0,0,1,0,0,0,-
124,김인태,두산,좌익수,9,2,30,0,0,9,0,0,1,0,0,0,-
124,윤병호,NC,중견수,9,5,46 2/3,1,0,15,1,1,0.941,0,0,0,-
124,이재율,NC,중견수,9,1,30,0,0,7,0,0,1,0,0,0,-
124,홍창기,LG,좌익수,9,4,46,0,0,12,1,1,1,0,0,0,-
124,이택근,넥센,우익수,9,8,61,0,0,11,1,0,1,0,0,0,-
124,백창수,한화,우익수,9,1,28,0,0,5,0,0,1,0,0,0,-
124,이동훈,한화,좌익수,9,7,65,0,0,17,2,0,1,0,0,0,-
124,장진혁,한화,우익수,9,2,32 1/3,0,0,5,0,0,1,0,0,0,-
124,호잉,한화,중견수,9,8,63 1/3,1,0,19,0,0,0.95,0,0,0,-
124,배정대,KT,우익수,9,0,21 2/3,0,0,4,0,0,1,0,0,0,-
124,전민수,KT,좌익수,9,6,49,0,0,12,0,0,1,0,0,0,-
135,박헌욱,NC,중견수,8,6,49,1,0,9,0,0,0.9,0,0,0,-
135,윤병호,NC,좌익수,8,4,39 2/3,0,0,6,1,0,1,0,0,0,-
135,김헌곤,삼성,중견수,8,5,39,0,0,10,0,0,1,0,0,0,-
135,하준호,KT,좌익수,8,4,37,0,0,13,0,0,1,0,0,0,-
139,나지완,KIA,우익수,7,1,16,0,0,6,0,0,1,0,0,0,-
139,백민기,두산,좌익수,7,3,22,0,0,10,0,0,1,0,0,0,-
139,이종욱,NC,중견수,7,7,44,0,0,8,2,2,1,0,0,0,-
139,김재현,SK,중견수,7,3,22,0,0,5,0,0,1,0,0,0,-
139,양성우,한화,우익수,7,2,28,0,0,4,1,0,1,0,0,0,-
139,배영섭,삼성,우익수,7,1,20,0,0,2,0,0,1,0,0,0,-
139,김진곤,KT,우익수,7,1,25,0,0,3,0,0,1,0,0,0,-
139,오준혁,KT,우익수,7,3,28,1,0,5,0,0,0.833,0,0,0,-
147,국해성,두산,우익수,6,4,39,0,0,7,0,0,1,0,0,0,-
147,반슬라이크,두산,우익수,6,6,43,1,0,13,0,0,0.929,0,0,0,-
147,강진성,NC,우익수,6,0,11,0,0,1,0,0,1,0,0,0,-
147,윤정우,SK,우익수,6,3,27,1,0,9,0,0,0.9,0,0,0,-
147,김용의,LG,우익수,6,0,7,0,0,2,0,0,1,0,0,0,-
147,박정음,넥센,우익수,6,1,17,0,0,2,0,0,1,0,0,0,-
147,허정협,넥센,우익수,6,1,15 2/3,0,0,2,0,0,1,0,0,0,-
147,김지열,KT,좌익수,6,1,20 1/3,1,0,6,1,0,0.875,0,0,0,-
147,하준호,KT,우익수,6,2,21,0,0,4,2,0,1,0,0,0,-
156,이창진,KIA,우익수,5,0,15 2/3,0,0,4,0,0,1,0,0,0,-
156,최원준,KIA,중견수,5,0,12 1/3,0,0,5,0,0,1,0,0,0,-
156,조홍석,롯데,좌익수,5,1,14,0,0,3,1,0,1,0,0,0,-
156,조홍석,롯데,우익수,5,0,12,0,0,4,0,0,1,0,0,0,-
156,박용택,LG,좌익수,5,5,33,0,0,8,0,0,1,0,0,0,-
161,김주찬,KIA,우익수,4,1,12,0,0,4,0,0,1,0,0,0,-
161,조용호,SK,좌익수,4,2,20,0,0,7,0,0,1,0,0,0,-
161,박정음,넥센,좌익수,4,1,15,0,0,5,0,0,1,0,0,0,-
